X_expected	Y_expected	X_measured	Y_measured
0	0	127632	100
10	0	127632	100
30	0	127632	100
60	0	127632	100
100	0	127632	100
150	0	127632	100
210	0	127632	100
280	0	127632	100
360	0	127632	100
439	0	127632	100
519	0	127632	100
589	0	127632	100
649	0	127632	100
699	0	127632	100
739	0	127632	100
769	0	127632	100
789	0	127632	100
799	0	127632	100
0	10	127632	100
10	10	127632	100
30	10	127632	100
60	10	127632	100
100	10	127632	100
150	10	127632	100
210	10	127632	100
